index,amount,year,area,duration,title,subject,population,strategy,transaction,funder,funder_addr,recipient,recipient_addr,description,source
3385,"$5,000",2021,,1 year,,"Journalism, news and information; Constituency journalism",Homeless people,General support; Publications; Equal access,Cash grants,Anschutz Family Foundation,"Denver, CO United States",The Denver Homeless Voice,"Denver, CO United States","General operating support for a monthly street paper sold by the homeless that covers news and information on homelessness, written by homeless and professional journalists.",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3386,"$5,000",2021,,1 year,,"Media Content and Platforms; Web-based media; Journalism, news and information; Journalism, news, and information, general",Not Specified,Not Specified,Cash grants,Apple Pickers Foundation,"Wilmington, DE United States",CONNECTICUT NEWS PROJECT INC,"Hartford, CT United States",General & Unrestricted,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3387,"$5,000",2021,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Not Specified,Not Specified,Cash grants,Aspen Business Center Foundation,"Aspen, CO United States",Aspen Journalism,"Aspen, CO United States",COOMUNICATION,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3388,"$5,000",2021,,1 year,,"Journalism, news and information; Advocacy journalism",Not Specified,General support,Cash grants,Becker Family Foundation Co Montecito Bank & Trust 8370-00,"Santa Barbara, CA United States",Human Rights Watch,"Santa Barbara, CA United States",GENERAL SUPPORT,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3389,"$5,000",2021,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Adults,Not Specified,Cash grants,Blumenthal Foundation for Charity Religion Education & Better Inter-,"Charlotte, NC United States",SOUTH WINGS INC,"Asheville, NC United States",A grant for support of the Norh Carolina Healthy Land and Waters project for 2021.,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3390,"$5,000",2021,,1 year,,"Media access and policy; Media justice; Journalism, news and information; Citizen journalism",Victims of crime and abuse,General support,Cash grants,Cabot-Kjellerup Foundation,"West Grove, PA United States","Witness, Inc.","New York City, NY United States",For General Support of Charitable Activities,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3391,"$5,000",2021,Civic Engagement,1 year,,"Journalism, news and information; Investigative journalism",Ex-offenders; Offenders,Not Specified,Cash grants,California Community Foundation,"Los Angeles, CA United States",MARSHALL PROJECT INC,"New York City, NY United States",Civic Engagement,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3392,"$5,000",2021,,1 year,,"Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",Not Specified,Program support,Cash grants,Carl Hj Asplundh Jr Family Foundation FKA 6 Brothers Foundation C/o Bt,"Huntingdon Valley, PA United States",The Down Syndrome Interest Group of Montgomery County,"Blue Bell, PA United States",EDUCATIONAL & COMMUNITY PRUPOSES,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3393,"$5,000",2021,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Not Specified,Public engagement and education,Cash grants,Cas Foundation Inc,"Santa Monica, CA United States",COMMITTEE FOR ACCURACY IN MIDDLE EAST REPORTING IN AMERICA INC,"Boston, MA United States",MEDIA MONITORING,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3394,"$5,000",2021,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Ethnic and racial groups; Adults; At-risk youth; Economically disadvantaged people; Immigrants and migrants; Activists; Farmers; Families,General support,Cash grants,Cedar Tree Foundation,"Boston, MA United States",Civil Eats,"Burlington, MA United States",GENERAL SUPPORT,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3395,"$5,000",2021,,1 year,,"Journalism, news and information; Investigative journalism",Not Specified,Advocacy; Ethics and accountability; Systems reform,Cash grants,Circle of Service Foundation,"Chicago, IL United States","PRO Publica, Inc.","New York City, NY United States",MATCHING/DISCRETIONARY,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3396,"$5,000",2021,Arts and Culture,1 year,,"Media Content and Platforms; Television; Radio; Web-based media; Journalism, news and information; Journalism, news, and information, general",Ethnic and racial groups; Families; Non-adult children; Parents; Economically disadvantaged people,General support,Cash grants,CLEVELAND FOUNDATION,"Cleveland, OH United States",Ideastream,"Cleveland, OH United States",General Support,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3397,"$5,000",2021,ARTS:Arts And Culture,1 year,,"Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",Adolescents; Children and youth; Adults,General support,Cash grants,Community Foundation Sonoma County,"Santa Rosa, CA United States",Youth Radio,"Oakland, CA United States",For general operating expenses,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3398,"$5,000",2021,,1 year,,"Journalism, news and information; Investigative journalism",Not Specified,General support,Cash grants,Cross Ridge Foundation Co Davidson Daw C/o Davidson Dawson & Clark LLP,"New York City, NY United States",Center for Public Integrity,"Washington, DC United States",GENERAL PURPOSES,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3399,"$5,000",2021,,1 year,,"Journalism, news and information; Investigative journalism",Not Specified,Advocacy; Ethics and accountability; Systems reform,Cash grants,Darren Star Foundation,"Wilmington, DE United States","PRO Publica, Inc.","New York City, NY United States",General & Unrestricted,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3400,"$5,000",2021,,1 year,,"Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",Adults; Ethnic and racial groups,Not Specified,Cash grants,David and Terri@Kester Foundation Inc,"Clermont, FL United States","Community Communications, Inc.","Orlando, FL United States",GENERAL CHARITABLE,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3401,"$5,000",2021,Arts & Culture,1 year,,"Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",Adults; Ethnic and racial groups; Economically disadvantaged people; Immigrants and migrants,General support,Cash grants,East Bay Community Foundation,"Oakland, CA United States",Cityside Journalism Initiative,"Berkeley, CA United States",General support,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3402,"$5,000",2021,,1 year,,"Media access and policy; Media literacy; Journalism, news and information; Journalism, news, and information, general",Adolescents; Adults; Teachers; Students; Preteens,Not Specified,Cash grants,ELEANORE BENNETT CHARITABLE TRUST NO 1,"Cambridge, MA United States",The News Literacy Project,"Bethesda, MD United States",ENTITY SUPPORT,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3403,"$5,000",2021,,1 year,,"Journalism, news and information; Advocacy journalism",Not Specified,Not Specified,Cash grants,Elizabeth Webb Kanta Charitable Trust,"Boise, ID United States",Wassmuth Center for Human Rights Home of the Anne Frank Memorial,"Boise, ID United States",SEE STATEMENT 3,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3404,"$5,000",2021,,1 year,,"Journalism, news and information; Investigative journalism",Not Specified,Advocacy; Ethics and accountability; Systems reform,Cash grants,Enhancing Tomorrow,"Weston, MA United States","PRO Publica, Inc.","New York City, NY United States",CHARITABLE,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3405,"$5,000",2021,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Not Specified,Program support; General support,Cash grants,F & a Zimmerman Charitable Trust 480008002,"St Louis, MO United States",Good News in Action,"Albany, LA United States",PROGRAM SUPPORT,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3406,"$5,000",2021,,1 year,,"Media Content and Platforms; Radio; Web-based media; Print; Media applications and tools; Media applications and tools, general; Media access and policy; Media democracy; Media literacy; Journalism, news and information; Investigative journalism; Citizen journalism",Adults,Not Specified,Cash grants,Ford Motor Company Fund,"Dearborn, MI United States",Toledo Integrated Media Education Inc,"Toledo, OH United States",COMMUNITY NEEDS,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3407,"$5,000",2021,,1 year,,"Journalism, news and information; Investigative journalism",Families; Women and girls,General support,Cash grants,Frankel Family Foundation,"Wilmington, DE United States",Fuller Project for International Reporting Inc,"Washington, DC United States",GENERAL OPERATING,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3408,"$5,000",2021,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Adults,Not Specified,Cash grants,Gary Philanthropy,"Denver, CO United States",Colorado News Collaborative,"Denver, CO United States",Non-Grant Contribution,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3409,"$5,000",2021,,1 year,,"Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",Not Specified,Presentations and productions,Cash grants,Gerald Flaxer Charitable Foundation,"Cambridge, MA United States",Wbur,"Boston, MA United States",TO PROVIDE NEWS TO THE COMMUNITY,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3410,"$5,000",2021,Education,1 year,,"Journalism, news and information; Journalism, news, and information, general",Not Specified,Not Specified,Cash grants,Greater Washington Community Foundation,"Washington, DC United States",Institute for Nonprofit News,"Calabasas, CA United States",Not Specified,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3411,"$5,000",2021,,1 year,,"Media Content and Platforms; Radio; Journalism, news and information; Journalism, news, and information, general",Not Specified,General support,Cash grants,Green Fund,"Westminster, CO United States",Colorado Public Radio,"Centennial, CO United States",Operating Support,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3412,"$5,000",2021,,1 year,,"Media Content and Platforms; Film/video; Journalism, news and information; Journalism, news, and information, general",Adolescents; Young adults; Artists and performers,Not Specified,Cash grants,H T Ewald Foundation,"West Bloomfield, MI United States",The Bronx Documentary Center,"Bronx, NY United States",CHARITABLE,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
